Time,id,detection_level
1711147091.1706777,19,1
1711147091.1706777,47,1
1711147091.1706777,51,1
1711147091.1706777,57,1
1711147091.1706777,63,1
1711147091.2207718,7,1
1711147091.2207718,11,1
1711147091.2207718,14,1
1711147091.2207718,17,1
1711147091.2207718,19,1
1711147091.2207718,47,1
1711147091.2207718,51,1
1711147091.2207718,57,1
1711147091.2207718,63,1
1711147091.2696612,7,1
1711147091.2696612,11,1
1711147091.2696612,14,1
1711147091.2696612,17,1
1711147091.2696612,19,1
1711147091.2696612,47,1
1711147091.2696612,51,1
1711147091.2696612,57,1
1711147091.2696612,63,1
1711147091.3206968,7,1
1711147091.3206968,11,1
1711147091.3206968,12,1
1711147091.3206968,14,1
1711147091.3206968,17,1
1711147091.3206968,19,1
1711147091.3206968,47,1
1711147091.3206968,51,1
1711147091.3206968,57,1
1711147091.3206968,63,1
1711147091.3708189,7,1
1711147091.3708189,11,1
1711147091.3708189,14,1
1711147091.3708189,17,1
1711147091.3708189,19,1
1711147091.3708189,47,1
1711147091.3708189,51,1
1711147091.3708189,57,1
1711147091.3708189,63,1
1711147091.4206882,7,1
1711147091.4206882,11,1
1711147091.4206882,14,1
1711147091.4206882,17,1
1711147091.4206882,19,1
1711147091.4206882,47,1
1711147091.4206882,51,1
1711147091.4206882,57,1
1711147091.4206882,63,1
1711147091.469807,7,1
1711147091.469807,11,1
1711147091.469807,14,1
1711147091.469807,17,1
1711147091.469807,19,1
1711147091.469807,47,1
1711147091.469807,51,1
1711147091.469807,57,1
1711147091.469807,63,1
1711147091.5199168,7,1
1711147091.5199168,11,1
1711147091.5199168,14,1
1711147091.5199168,17,1
1711147091.5199168,19,1
1711147091.5199168,47,1
1711147091.5199168,51,1
1711147091.5199168,57,1
1711147091.5199168,63,1
1711147091.5697718,7,1
1711147091.5697718,11,1
1711147091.5697718,13,1
1711147091.5697718,14,1
1711147091.5697718,17,1
1711147091.5697718,19,1
1711147091.5697718,47,1
1711147091.5697718,51,1
1711147091.5697718,57,1
1711147091.5697718,63,1
1711147091.621338,7,1
1711147091.621338,11,1
1711147091.621338,14,1
1711147091.621338,17,1
1711147091.621338,19,1
1711147091.621338,47,1
1711147091.621338,51,1
1711147091.621338,57,1
1711147091.621338,63,1
1711147091.6708124,7,1
1711147091.6708124,11,1
1711147091.6708124,14,1
1711147091.6708124,17,1
1711147091.6708124,19,1
1711147091.6708124,47,1
1711147091.6708124,51,1
1711147091.6708124,55,1
1711147091.6708124,57,1
1711147091.6708124,63,1
1711147091.7207088,7,1
1711147091.7207088,11,1
1711147091.7207088,14,1
1711147091.7207088,17,1
1711147091.7207088,19,1
1711147091.7207088,47,1
1711147091.7207088,51,1
1711147091.7207088,57,1
1711147091.7207088,63,1
1711147091.7707949,7,1
1711147091.7707949,11,1
1711147091.7707949,14,1
1711147091.7707949,17,1
1711147091.7707949,19,1
1711147091.7707949,47,1
1711147091.7707949,51,1
1711147091.7707949,57,1
1711147091.7707949,63,1
1711147091.820707,7,1
1711147091.820707,11,1
1711147091.820707,14,1
1711147091.820707,17,1
1711147091.820707,19,1
1711147091.820707,47,1
1711147091.820707,51,1
1711147091.820707,57,1
1711147091.820707,63,1
1711147091.869777,7,1
1711147091.869777,11,1
1711147091.869777,14,1
1711147091.869777,17,1
1711147091.869777,19,1
1711147091.869777,47,1
1711147091.869777,51,1
1711147091.869777,57,1
1711147091.869777,63,1
1711147091.9207826,7,1
1711147091.9207826,11,1
1711147091.9207826,14,1
1711147091.9207826,17,1
1711147091.9207826,19,1
1711147091.9207826,47,1
1711147091.9207826,51,1
1711147091.9207826,57,1
1711147091.9207826,63,1
1711147091.9708714,7,1
1711147091.9708714,11,1
1711147091.9708714,14,1
1711147091.9708714,17,1
1711147091.9708714,19,1
1711147091.9708714,47,1
1711147091.9708714,51,1
1711147091.9708714,57,1
1711147091.9708714,63,1
1711147092.0210006,7,1
1711147092.0210006,11,1
1711147092.0210006,14,1
1711147092.0210006,17,1
1711147092.0210006,19,1
1711147092.0210006,47,1
1711147092.0210006,51,1
1711147092.0210006,57,1
1711147092.0210006,63,1
1711147092.069882,7,1
1711147092.069882,11,1
1711147092.069882,14,1
1711147092.069882,17,1
1711147092.069882,19,1
1711147092.069882,47,1
1711147092.069882,51,1
1711147092.069882,57,1
1711147092.069882,63,1
1711147092.1215303,7,1
1711147092.1215303,8,1
1711147092.1215303,11,1
1711147092.1215303,14,1
1711147092.1215303,17,1
1711147092.1215303,19,1
1711147092.1215303,47,1
1711147092.1215303,51,1
1711147092.1215303,57,1
1711147092.1215303,63,1
1711147092.1706643,7,1
1711147092.1706643,8,1
1711147092.1706643,11,1
1711147092.1706643,14,1
1711147092.1706643,17,1
1711147092.1706643,19,1
1711147092.1706643,35,1
1711147092.1706643,47,1
1711147092.1706643,51,1
1711147092.1706643,57,1
1711147092.1706643,61,1
1711147092.1706643,63,1
1711147092.2207804,7,1
1711147092.2207804,8,1
1711147092.2207804,11,1
1711147092.2207804,14,1
1711147092.2207804,17,1
1711147092.2207804,19,1
1711147092.2207804,47,1
1711147092.2207804,51,1
1711147092.2207804,57,1
1711147092.2207804,63,1
1711147092.270808,7,1
1711147092.270808,11,1
1711147092.270808,14,1
1711147092.270808,17,1
1711147092.270808,19,1
1711147092.270808,39,1
1711147092.270808,47,1
1711147092.270808,51,1
1711147092.270808,57,1
1711147092.270808,63,1
1711147092.319919,7,1
